       sx1 sx2     sx3        sx4         sx5
 [1,]   0   0 0.000000000 0.00000000 0.000000000
 [2,]   0   0 0.000000000 0.00000000 0.000000000
 [3,]   0   0 0.000000000 0.00000000 0.000000000
 [4,]   0   0 0.001758794 0.00000000 0.000000000
 [5,]   0   0 0.000000000 0.00000000 0.000000000
 [6,]   0   0 0.000000000 0.00000000 0.000000000
 [7,]   0   0 0.000000000 0.00000000 0.000000000
 [8,]   0   0 0.000000000 0.00000000 0.000000000
 [9,]   0   0 0.000000000 0.00000000 0.000000000
[10,]   0   0 0.000000000 0.00000000 0.000000000
[11,]   0   0 0.050868430 0.00000000 0.013644865
[12,]   0   0 0.000000000 0.00000000 0.000000000
[13,]   0   0 0.000000000 0.00000000 0.000000000
[14,]   0   0 0.001024846 0.01132677 0.005315263
[15,]   0   0 0.000000000 0.00000000 0.000000000
